,vehicle_id,vehicle_eclass,vehicle_fuel,laneID,vehicle_type,vehicle_x,vehicle_y,edgeID,lon,lat,cluster_label
368,pedestrian_2-1_638_tr,hbefa3/ldv_g_eu6,0.0,153359_1_1,motorcycle,7513.5,4660.21,153359_1,7.454546566149951,43.76178134336546,1
369,pedestrian_2-1_656_tr,hbefa3/ldv_g_eu6,0.6,152558_5_1,motorcycle,7176.11,4429.0,152558_5,7.4494068217116,43.75797561169512,1
370,pedestrian_2-1_663_tr,hbefa3/ldv_g_eu6,0.53,153012_1_2,moped,8621.86,4292.79,153012_1,7.469405337324932,43.75858332395062,1
371,pedestrian_2-1_691_tr,hbefa3/ldv_g_eu6,0.7,153012_1_2,motorcycle,8644.44,4300.52,153012_1,7.469405337324932,43.75858332395062,1
372,pedestrian_2-1_699_tr,hbefa3/ldv_g_eu6,1.08,152558_6_1,motorcycle,7216.26,4455.22,152558_6,7.451358150957602,43.75954864684783,1
373,pedestrian_2-1_706_tr,hbefa3/ldv_g_eu6,1.08,153485_2_2,motorcycle,7176.31,5141.08,153485_2,7.450933488930565,43.76598182367368,1
374,pedestrian_2-1_723_tr,hbefa3/ldv_g_eu6,0.0,153012_1_2,moped,8351.54,4588.07,153012_1,7.469405337324932,43.75858332395062,1
375,pedestrian_2-1_725_tr,hbefa3/ldv_g_eu6,0.53,153361_0_1,motorcycle,7147.61,4525.46,153361_0,7.448928580287903,43.75883077939768,1
376,pedestrian_2-1_754_tr,hbefa3/ldv_g_eu6,0.0,152558_6_1,moped,7246.05,4498.5,152558_6,7.451358150957602,43.75954864684783,1
377,pedestrian_2-1_768_tr,hbefa3/ldv_g_eu6,0.55,153012_1_2,moped,8644.53,4300.56,153012_1,7.469405337324932,43.75858332395062,1
378,pedestrian_2-1_76_tr,hbefa3/ldv_g_eu6,1.08,153485_2_2,moped,7175.11,5148.8,153485_2,7.450933488930565,43.76598182367368,1
379,pedestrian_2-1_808_tr,hbefa3/ldv_g_eu6,0.55,152558_6_1,motorcycle,7246.6,4497.31,152558_6,7.451358150957602,43.75954864684783,1
380,pedestrian_2-1_817_tr,hbefa3/ldv_g_eu6,0.53,153012_1_2,motorcycle,8639.46,4299.44,153012_1,7.469405337324932,43.75858332395062,1
381,pedestrian_2-1_870_tr,hbefa3/ldv_g_eu6,1.08,153359_1_1,motorcycle,7457.1,4681.13,153359_1,7.454546566149951,43.76178134336546,1
382,pedestrian_2-1_911_tr,hbefa3/ldv_g_eu6,1.08,153485_2_1,motorcycle,7183.68,5033.49,153485_2,7.450894359233009,43.765976791342425,1
383,pedestrian_2-1_948_tr,hbefa3/ldv_g_eu6,1.08,153359_1_1,motorcycle,7677.75,4629.54,153359_1,7.454546566149951,43.76178134336546,1
384,pedestrian_2-1_951_tr,hbefa3/ldv_g_eu6,1.08,153359_0_1,moped,7338.52,4514.38,153359_0,7.452651697792274,43.76026738183603,1
385,pedestrian_2-1_96_tr,hbefa3/ldv_g_eu6,0.53,152558_5_1,motorcycle,7183.54,4437.92,152558_5,7.4494068217116,43.75797561169512,1
386,pedestrian_2-1_987_tr,hbefa3/ldv_g_eu6,0.7,152558_6_1,motorcycle,7259.51,4508.01,152558_6,7.451358150957602,43.75954864684783,1
387,pedestrian_gw1-1_1586_tr,hbefa3/pc_g_eu4,1.0,153485_2_2,passenger2b,7175.56,5145.89,153485_2,7.450933488930565,43.76598182367368,1
388,pedestrian_gw1-1_2612_tr,hbefa3/pc_g_eu4,1.0,153485_4_1,passenger4,6616.8,4248.39,153485_4,7.449224386192401,43.76282552194194,1
389,pedestrian_gw1-1_3543_tr,hbefa3/pc_g_eu4,1.0,153485_2_2,passenger2a,7175.56,5145.89,153485_2,7.450933488930565,43.76598182367368,1
390,pedestrian_gw1-1_3949_tr,hbefa3/pc_g_eu4,1.0,153485_2_2,passenger4,7184.06,5044.31,153485_2,7.450933488930565,43.76598182367368,1
391,pedestrian_gw1-1_3961_tr,hbefa3/pc_g_eu4,1.0,153485_4_1,passenger1,6616.8,4248.39,153485_4,7.449224386192401,43.76282552194194,1
392,pedestrian_gw2-1_1018_tr,hbefa3/pc_g_eu4,1.0,153012_1_2,passenger2b,8641.95,4299.22,153012_1,7.469405337324932,43.75858332395062,1
393,pedestrian_gw2-1_1037_tr,hbefa3/pc_g_eu4,1.06,153012_1_2,passenger2b,8250.34,4686.24,153012_1,7.469405337324932,43.75858332395062,1
394,pedestrian_gw2-1_1235_tr,hbefa3/pc_g_eu4,0.9,152558_6_1,passenger2a,7206.16,4445.71,152558_6,7.451358150957602,43.75954864684783,1
395,pedestrian_gw2-1_1280_tr,hbefa3/pc_g_eu4,1.12,153359_0_1,passenger2a,7357.03,4530.45,153359_0,7.452651697792274,43.76026738183603,1
396,pedestrian_gw2-1_1319_tr,hbefa3/pc_g_eu4,1.0,153362_0_2,passenger3,7606.13,5010.08,153362_0,7.45642319097824,43.76458319140063,1
397,pedestrian_gw2-1_1325_tr,hbefa3/pc_g_eu4,1.0,152337_1,passenger3,7755.79,4652.64,152337,7.4580748610487,43.76165469556375,1
398,pedestrian_gw2-1_1346_tr,hbefa3/pc_g_eu4,1.0,152473_1,passenger1,7157.42,5202.17,152473,7.450722404282039,43.7664006067216,1
399,pedestrian_gw2-1_1410_tr,hbefa3/pc_g_eu4,1.0,153359_1_1,passenger2b,7675.09,4628.75,153359_1,7.454546566149951,43.76178134336546,1
400,pedestrian_gw2-1_168_tr,hbefa3/pc_g_eu4,0.0,153359_0_1,passenger2b,7391.84,4575.33,153359_0,7.452651697792274,43.76026738183603,1
401,pedestrian_gw2-1_174_tr,hbefa3/pc_g_eu4,1.0,152558_6_1,passenger3,7249.78,4500.7,152558_6,7.451358150957602,43.75954864684783,1
402,pedestrian_gw2-1_1910_tr,hbefa3/pc_g_eu4,1.0,153485_4_1,passenger2a,6616.8,4248.39,153485_4,7.449224386192401,43.76282552194194,1
403,pedestrian_gw2-1_193_tr,hbefa3/pc_g_eu4,1.0,153485_2_2,passenger4,7175.56,5145.89,153485_2,7.450933488930565,43.76598182367368,1
404,pedestrian_gw2-1_1946_tr,hbefa3/pc_g_eu4,1.0,152558_6_1,passenger2a,7257.13,4506.57,152558_6,7.451358150957602,43.75954864684783,1
405,pedestrian_gw2-1_2008_tr,hbefa3/pc_g_eu4,1.19,153012_1_2,passenger1,8021.1,4878.39,153012_1,7.469405337324932,43.75858332395062,1
406,pedestrian_gw2-1_2106_tr,hbefa3/pc_g_eu4,1.13,153012_1_2,passenger4,8632.66,4296.76,153012_1,7.469405337324932,43.75858332395062,1
407,pedestrian_gw2-1_2326_tr,hbefa3/pc_g_eu4,1.0,153362_0_2,passenger4,7609.83,5001.13,153362_0,7.45642319097824,43.76458319140063,1
408,pedestrian_gw2-1_235_tr,hbefa3/pc_g_eu4,1.13,153012_1_2,passenger2b,8637.6,4296.94,153012_1,7.469405337324932,43.75858332395062,1
409,pedestrian_gw2-1_2520_tr,hbefa3/pc_g_eu4,1.13,153012_1_1,passenger2a,8622.1,4296.94,153012_1,7.469386308987995,43.758608549677696,1
410,pedestrian_gw2-1_2551_tr,hbefa3/pc_g_eu4,1.13,153359_0_1,passenger2b,7310.84,4512.97,153359_0,7.452651697792274,43.76026738183603,1
411,pedestrian_gw2-1_2606_tr,hbefa3/pc_g_eu4,1.0,153485_2_1,passenger1,7184.58,5036.08,153485_2,7.450894359233009,43.765976791342425,1
412,pedestrian_gw2-1_2620_tr,hbefa3/pc_g_eu4,1.0,153359_1_1,passenger2b,7666.07,4626.06,153359_1,7.454546566149951,43.76178134336546,1
413,pedestrian_gw2-1_2683_tr,hbefa3/pc_g_eu4,1.13,153012_1_1,passenger1,8593.9,4305.06,153012_1,7.469386308987995,43.758608549677696,1
414,pedestrian_gw2-1_3029_tr,hbefa3/pc_g_eu4,1.0,153362_0_2,passenger2b,7612.61,4992.13,153362_0,7.45642319097824,43.76458319140063,1
415,pedestrian_gw2-1_3122_tr,hbefa3/pc_g_eu4,1.11,153012_1_2,passenger1,7621.1,4959.04,153012_1,7.469405337324932,43.75858332395062,1
416,pedestrian_gw2-1_356_tr,hbefa3/pc_g_eu4,1.13,153012_1_2,passenger1,8614.09,4294.24,153012_1,7.469405337324932,43.75858332395062,1
417,pedestrian_gw2-1_46_tr,hbefa3/pc_g_eu4,1.0,152558_6_2,passenger3,7258.29,4503.54,152558_6,7.451330416269894,43.75956915965043,1
418,pedestrian_gw2-1_494_tr,hbefa3/pc_g_eu4,1.13,152558_5_1,passenger4,7171.33,4426.08,152558_5,7.4494068217116,43.75797561169512,1
419,pedestrian_gw2-1_498_tr,hbefa3/pc_g_eu4,1.0,153012_1_2,passenger2a,8641.95,4299.22,153012_1,7.469405337324932,43.75858332395062,1
420,pedestrian_gw2-1_501_tr,hbefa3/pc_g_eu4,0.0,152558_5_1,passenger1,7140.06,4394.52,152558_5,7.4494068217116,43.75797561169512,1
421,pedestrian_gw2-1_544_tr,hbefa3/pc_g_eu4,1.0,153012_1_2,passenger1,8641.95,4299.22,153012_1,7.469405337324932,43.75858332395062,1
422,pedestrian_gw2-1_553_tr,hbefa3/pc_g_eu4,1.0,153362_0_2,passenger1,7537.19,5129.23,153362_0,7.45642319097824,43.76458319140063,1
423,pedestrian_gw2-1_555_tr,hbefa3/pc_g_eu4,1.0,153362_0_2,passenger1,7612.61,4992.13,153362_0,7.45642319097824,43.76458319140063,1
424,pedestrian_gw2-1_6_tr,hbefa3/pc_g_eu4,1.0,153012_1_2,passenger4,8625.53,4294.14,153012_1,7.469405337324932,43.75858332395062,1
425,pedestrian_gw2-1_955_tr,hbefa3/pc_g_eu4,0.0,153012_1_2,passenger2b,8641.39,4300.28,153012_1,7.469405337324932,43.75858332395062,1
426,pedestrian_gw2-1_973_tr,hbefa3/pc_g_eu4,1.01,153362_0_2,passenger2b,7573.1,5081.79,153362_0,7.45642319097824,43.76458319140063,1
427,pedestrian_gw2-1_978_tr,hbefa3/pc_g_eu4,1.0,152473_1,passenger1,7157.42,5202.17,152473,7.450722404282039,43.7664006067216,1
428,special_2-1_159,hbefa3/pc_g_eu4,1.13,152558_6_2,authority,7258.21,4503.48,152558_6,7.451330416269894,43.75956915965043,1
429,special_2-1_165,hbefa3/ldv,0.94,152558_6_1,emergency,7210.73,4450.01,152558_6,7.451358150957602,43.75954864684783,1
430,special_2-1_186,hbefa3/pc_g_eu4,1.13,153012_1_2,authority,8618.7,4293.25,153012_1,7.469405337324932,43.75858332395062,1
431,special_2-1_215,hbefa3/pc_g_eu4,1.0,153012_1_2,authority,8641.95,4299.22,153012_1,7.469405337324932,43.75858332395062,1
432,special_2-1_260,hbefa3/ldv,1.39,152558_6_1,emergency,7229.17,4467.34,152558_6,7.451358150957602,43.75954864684783,1
433,special_2-1_266,hbefa3/pc_g_eu4,0.0,153485_2_2,authority,7176.05,5145.97,153485_2,7.450933488930565,43.76598182367368,1
434,special_2-1_3,hbefa3/ldv,0.91,153359_1_1,emergency,7516.31,4645.34,153359_1,7.454546566149951,43.76178134336546,1
435,special_2-1_75,hbefa3/ldv,1.12,153362_0_2,emergency,7612.25,4993.57,153362_0,7.45642319097824,43.76458319140063,1
